SIMBAD_ID,mass_1,mass_68L_1,mass_68U_1,BCK,e_BCK,Teff,eTeff,logg,elogg,Meta,eMeta1,eMeta2,xi,e_xi,f_xi,S,EBV_p50,EBV_p16,EBV_p84,L,eL1,eL2,age,age_68L,age_68U,mass_2,mass_68L_2,mass_68U_2,rad,rad_68L,rad_68U,eTeff1,eTeff2,elogg1,elogg2,rho,erho1,erho2,M,eM1,eM2,R,eR1,eR2,Warning_M,Warning_R,M_ai,R_ai
HAT-P-8,1.27,1.12,1.34,1.18,0.08,6241,52,4.15,0.12,0.02,0.03,0.11,1.53,0.02,0,B21,0.0188609784729302,0.00856894916638254,0.0296768032402924,3.16715741954869,3.08039022207438,3.25921495365366,3.284476,2.778195,3.815082,1.246707,1.198679,1.290657,1.516,1.483218,1.54968,52,52,0.12,0.12,NA,NA,NA,1.2373841429303,0.0258897312173047,0.0258897312173047,1.56452296105433,0.263069992806246,0.263069992806246,NA,NA,1.2020286108665,1.4759184374851
HATS-1,0.99,0.87,1.12,1.43,0.08,5810,77,4.43,0.17,-0.06,0.03,0.12,0.48,0.26,0,B21,0.0129298918747821,0.00376827628939529,0.0254070045568214,1.07587119070167,1.05190118943146,1.10865721959761,5.515486,2.762409,8.561756,0.973187,0.91558,1.027906,1.019528,0.99155,1.049125,77,77,0.17,0.17,NA,NA,NA,1.07090954878339,0.0328996909239959,0.0328996909239959,1.00862580076049,0.244440293407684,0.244440293407684,NA,NA,0.973080085381041,1.02823014671747
HATS-10,1.18,1.07,1.27,1.38,0.07,6002,123,4.35,0.09,0.26,0.04,0.1,1.01,0.1,0,UVES,0.0854940326349925,0.0672714556810124,0.10480097518453,1.81608268093922,1.73213403539775,1.9104008510239,2.735565,1.204793,4.408327,1.189635,1.141275,1.231894,1.242541,1.194306,1.300121,123,123,0.09,0.09,NA,NA,NA,1.20678048389802,0.0463974285178737,0.0463974285178737,1.19899976421211,0.153545909239571,0.153545909239571,NA,NA,1.06885189284225,1.22447283765937
HATS-13,1,0.86,1.05,1.53,0.08,5558,69,4.58,0.15,0.22,0.02,0.14,0.96,0.19,0,B21,0.0652171681688365,0.0516957774105333,0.0797961096149405,0.585381832548799,0.565327483978916,0.606521286735468,1.860462,0.628216,4.324755,0.920254,0.885663,0.950853,0.854335,0.833212,0.875054,69,69,0.15,0.15,NA,NA,NA,1.04456207994368,0.0312872383555516,0.0312872383555516,0.830076828013262,0.176401845635321,0.176401845635321,NA,NA,0.894924920865059,0.888998784811257
HATS-17,1.09,1.02,1.18,1.52,0.03,5730,50,4.24,0.08,0.26,0.02,0.11,0.91,0.02,0,Ar,0.0144488683603868,0.00566500193381727,0.0256632520668656,1.61834974674166,1.58249894983156,1.66132403396668,5.953425,4.773111,7.639237,1.108526,1.057807,1.149059,1.28625,1.259169,1.313571,50,50,0.08,0.08,NA,NA,NA,1.11297031406873,0.0246363300482296,0.0246363300482296,1.34982693607096,0.153398163637105,0.153398163637105,NA,NA,1.00814213459415,1.24337692518056
HATS-2,0.9,0.8,1.01,1.8,0.09,5154,28,4.5,0.17,0.35,0.01,0.14,1.4,0.03,0,B21,0.0610716942021984,0.0511526485002631,0.0706106729031855,0.49121964758725,0.479865305250432,0.502560744873199,4.758585,1.899223,8.805106,0.924921,0.87747,0.959924,0.877714,0.865306,0.890578,28,28,0.17,0.17,NA,NA,NA,0.933086938408448,0.0212974857422591,0.0212974857422591,0.897530838296049,0.216341295108137,0.216341295108137,NA,NA,0.850489327379526,0.869102178350727
HATS-22,0.74,0.68,0.84,2.09,0.09,4736,150,4.55,0.11,0.05,0,0.15,1.09,0.15,1,Ar,0.121632234947135,0.105109201323061,0.140175690762763,0.334008354303426,0.323833971120838,0.346208428499963,NA,NA,NA,0.760747,0.722347,0.811468,0.810777,0.780706,0.838584,150,150,0.11,0.11,NA,NA,NA,0.78769891211998,0.0402900209524547,0.0402900209524547,0.767285320094205,0.119816302059,0.119816302059,1,1,0.782830113128648,0.825170972980539
HATS-24,1.1,0.97,1.22,1.29,0.07,6140,138,4.32,0.1,-0.11,0.05,0.12,0.93,0.12,0,UVES,0.0639393128781115,0.0379924721752706,0.0898900973836376,2.05017040350289,1.91953266854081,2.18625241189628,4.470227,2.614479,6.513282,1.08802,1.02579,1.147626,1.253218,1.188691,1.322107,138,138,0.1,0.1,NA,NA,NA,1.1741165446735,0.0523044972067341,0.0523044972067341,1.20774566799049,0.171046847807292,0.171046847807292,NA,NA,1.11698051180026,1.27119763619139
HATS-25,1,0.91,1.08,1.54,0.04,5692,58,4.34,0.07,0.1,0.03,0.11,0.42,0.18,0,UVES,0.0215208786935715,0.00971894131853563,0.0340144636102982,1.23301916544648,1.19549941575906,1.27466809838174,7.440287,5.258876,9.573873,1.006774,0.958416,1.056689,1.135687,1.106946,1.165138,58,58,0.07,0.07,NA,NA,NA,1.06490253626063,0.0272224226997718,0.0272224226997718,1.14748938499312,0.115434455636813,0.115434455636813,NA,NA,0.967414504117078,1.08723031565439
HATS-26,1.23,1.11,1.4,1.38,0.05,5962,97,3.92,0.11,-0.1,0.04,0.13,1.34,0.06,0,Ar,0.0163913460000406,0.00534339993037733,0.0289327924330626,4.08733122282612,3.95556352872132,4.23881028658268,5.27428,3.998993,5.884216,1.170115,1.110167,1.263022,1.868904,1.802166,1.939141,97,97,0.11,0.11,NA,NA,NA,1.11466975531018,0.039708517172463,0.039708517172463,2.03747889855348,0.3182828931353,0.3182828931353,NA,NA,1.21637305746548,1.81381893142812
