ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	e1_Fe/H	e2_Fe/H	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database	rho	erho1	erho2
VZ_Cep_A	1,402	0,015	0,015	1,558	0,012	0,012	6670	160	160	0,06	0,09	0,09	NA	4,213	0,008	0,008	NA	4,315	0,46	0,46	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,08850280681615014	0,0022535761140110217	0,0022535761140110217
VZ_Cep_B	1,108	0,008	0,008	1,058	0,04	0,04	5720	120	120	0,06	0,09	0,09	NA	4,446	0,033	0,033	NA	1,076	0,137	0,137	NA	MS	G	NA	NA	NA	NA	NA	eker14	EB	NA	0,22335421262165187	0,02538445885458902	0,02538445885458902
VZ_Hya_A	1,271	0,009	0,009	1,315	0,005	0,005	6645	150	150	-0,2	0,12	0,12	NA	4,305	0,005	0,005	NA	3,027	0,3	0,3	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,13343804877300788	0,0017915378685343633	0,0017915378685343633
VZ_Hya_B	1,12	0,03	0,03	1,12	0,03	0,03	6281	102	102	-0,2	0,12	0,12	NA	NA	NA	NA	NA	1,738	0,168	0,168	NA	MS	F	NA	NA	NA	NA	NA	malkov07	EB	NA	0,19031601932226003	0,016120502578793477	0,016120502578793477
WW_Aur_A	1,964	0,007	0,007	1,928	0,011	0,011	7960	420	420	NA	NA	NA	NA	4,162	0,007	0,007	NA	13,397	3,586	3,586	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,06542320042062097	0,001143815547257763	0,001143815547257763
WW_Aur_B	1,814	0,007	0,007	1,842	0,011	0,011	7670	410	410	NA	NA	NA	NA	4,167	0,007	0,007	NA	10,544	2,884	2,884	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,06929147334523554	0,001269848690961188	0,001269848690961188
WW_Cam_A	1,92	0,013	0,013	1,913	0,016	0,016	8360	140	140	NA	NA	NA	NA	4,159	0,008	0,008	NA	16,032	1,186	1,186	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,06547382440382042	0,0017015972058512154	0,0017015972058512154
WW_Cam_B	1,873	0,018	0,018	1,81	0,014	0,014	8240	140	140	NA	NA	NA	NA	4,196	0,009	0,009	NA	13,552	1,003	1,003	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,0754073091247459	0,0018939128165469745	0,0018939128165469745
WX_Cep_A	2,533	0,05	0,05	3,996	0,03	0,03	8150	250	250	NA	NA	NA	NA	3,638	0,005	0,005	NA	63,241	8,373	8,373	NA	MS	A	NA	NA	NA	NA	NA	torres10	EB	NA	0,009476983878248475	0,0002838209511204353	0,0002838209511204353
WX_Cep_B	2,324	0,045	0,045	2,712	0,023	0,023	8900	250	250	NA	NA	NA	NA	3,938	0,006	0,006	NA	41,4	5,052	5,052	NA	MS	A	NA	NA	NA	NA	NA	torres10	EB	NA	0,027814961223383543	0,0008893187015399451	0,0008893187015399451
WZ_Oph_A	1,227	0,007	0,007	1,401	0,012	0,012	6165	100	100	-0,27	0,07	0,07	NA	4,234	0,008	0,008	NA	2,547	0,182	0,182	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,1065225483509854	0,0028038458663311593	0,0028038458663311593
WZ_Oph_B	1,22	0,006	0,006	1,419	0,012	0,012	6115	100	100	-0,27	0,07	0,07	NA	4,221	0,008	0,008	NA	2,529	0,181	0,181	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,10193516611782534	0,0026342359965860936	0,0026342359965860936
XY_Cet_A	1,773	0,016	0,016	1,876	0,035	0,035	7870	115	115	NA	NA	NA	NA	4,142	0,016	0,016	NA	12,134	0,898	0,898	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,06410938698450601	0,003634552625316875	0,003634552625316875
XY_Cet_B	1,615	0,014	0,014	1,776	0,029	0,029	7620	125	125	NA	NA	NA	NA	4,179	0,014	0,014	NA	9,55	0,754	0,754	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,06882639665353377	0,0034239473885767117	0,0034239473885767117
XY_UMa_A	1,097	0,073	0,073	1,161	0,02	0,02	5200	7	7	NA	NA	NA	NA	4,34054218809756	0,0325438928297453	0,0325438928297453	NA	0,885	0,031	0,03	NA	MS	G	NA	NA	NA	NA	NA	eker14	EB	NA	0,16734832084688167	0,014100059935465393	0,014100059935465393
XY_UMa_B	0,665	0,031	0,031	0,63	0,01	0,01	4125	7	7	NA	NA	NA	NA	4,65414054639594	0,0244940257411373	0,0244940257411373	NA	0,103	0,003	0,003	NA	PMS	K	NA	NA	NA	NA	NA	eker14	EB	NA	0,634908860070969	0,04230930710019339	0,04230930710019339
YY_Gem_A	0,598	0,005	0,005	0,621	0,006	0,006	3820	100	100	NA	NA	NA	NA	4,63	0,008	0,008	NA	0,074	0,009	0,009	NA	PMS	K	NA	NA	NA	NA	NA	eker14	EB	NA	0,5961256021920904	0,017983533211182838	0,017983533211182838
YY_Gem_B	0,601	0,005	0,005	0,605	0,006	0,006	3820	100	100	NA	NA	NA	NA	4,655	0,008	0,008	NA	0,07	0,008	0,008	NA	PMS	K	NA	NA	NA	NA	NA	eker14	EB	NA	0,6479175425394605	0,020016342409413256	0,020016342409413256
YZ_Cas_A	2,308	0,01	0,01	2,547	0,03	0,03	9200	300	300	0,1	0,06	0,06	NA	3,995	0,01	0,01	NA	41,687	6,397	6,397	NA	MS	A	NA	NA	NA	NA	NA	eker14	EB	NA	0,03334727571553307	0,001187174111690949	0,001187174111690949
YZ_Cas_B	1,347	0,01	0,01	1,359	0,02	0,02	6700	250	250	0,1	0,06	0,06	NA	4,307	0,013	0,013	NA	3,342	0,603	0,603	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,1281210874693928	0,0057359720874905935	0,0057359720874905935
Z_Her_A	1,611	0,07	0,07	1,859	0,06	0,06	6397	75	75	NA	NA	NA	NA	4,11	0,03	0,03	NA	5,2	0,449	0,449	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,059864417605525834	0,006353342670413099	0,006353342670413099
Z_Her_B	1,312	0,03	0,03	2,743	0,08	0,08	4977	175	175	NA	NA	NA	NA	3,68	0,03	0,03	NA	4,15	0,748	0,748	NA	PMS	K	NA	NA	NA	NA	NA	eker14	EB	NA	0,015176366394094842	0,001372458800544822	0,001372458800544822
ZZ_Boo_A	1,616	0,01	0,01	2,164	0,07	0,07	6670	30	30	NA	NA	NA	NA	3,975	0,01	0,01	NA	8,318	0,595	0,595	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,038069833536728666	0,003701895875178927	0,003701895875178927
ZZ_Boo_B	1,568	0,01	0,01	2,164	0,07	0,07	6670	30	30	NA	NA	NA	NA	3,99	0,1	0,1	NA	8,318	0,595	0,595	NA	MS	F	NA	NA	NA	NA	NA	eker14	EB	NA	0,036939046401974346	0,003592390661642681	0,003592390661642681
ZZ_Cep_B	1,9	0,19	0,19	2,9	0,29	0,29	6501	338	338	NA	NA	NA	NA	NA	NA	NA	NA	13,49	0,965	0,965	NA	MS	F	NA	NA	NA	NA	NA	malkov07	EB	NA	0,01859820360867201	0,005881268379096642	0,005881268379096642
ZZ_UMa_A	1,179	0,013	0,013	1,518	0,023	0,023	5903	60	60	NA	NA	NA	NA	4,147	0,017	0,017	NA	2,512	0,137	0,137	NA	MS	G	NA	NA	NA	NA	NA	eker14	EB	NA	0,08046553091347598	0,0037635982103772147	0,0037635982103772147
ZZ_UMa_B	0,96	0,01	0,01	1,158	0,013	0,013	5097	60	60	NA	NA	NA	NA	4,293	0,015	0,015	NA	0,813	0,044	0,044	NA	PMS	K	NA	NA	NA	NA	NA	eker14	EB	NA	0,14759000435606076	0,005202972783864491	0,005202972783864491
EPIC201367296	1,15	0,04	0,04	1,73	0,04	0,04	5718	71	71	0,21	0,08	0,08	NA	4,018	0,013	0,013	NA	2,7	0,342211612410021	0,342211612410021	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,053023808916848776	0,004114461990166644	0,004114461990166644
EPIC201367904	1,3	0,05	0,05	2,08	0,05	0,05	6251	78	78	-0,02	0,08	0,08	NA	3,916	0,013	0,013	NA	6,664	0,597819169052716	0,597819169052716	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,03448774018783558	0,002818709534582716	0,002818709534582716
EPIC201820830	1,29	0,08	0,08	1,74	0,05	0,05	6420	71	71	-0,07	0,11	0,11	NA	4,063	0,016	0,016	NA	4,555	0,353974438320162	0,353974438320162	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,058459265729012916	0,006208129536445169	0,006208129536445169
EPIC201860743	1,14	0,05	0,05	1,88	0,03	0,03	5926	78	78	-0,02	0,11	0,11	NA	3,945	0,014	0,014	NA	4,119	0,374560308738028	0,374560308738028	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,0409583727665024	0,0026592772907151605	0,0026592772907151605
EPIC204356572	1,18	0,07	0,07	1,5	0,04	0,04	6316	78	78	-0,07	0,08	0,08	NA	4,157	0,015	0,015	NA	3,422	0,297267427373032	0,297267427373032	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,08346792571041622	0,008312962785143582	0,008312962785143582
EPIC204506926	1,08	0,05	0,05	1,41	0,02	0,02	5705	78	78	0,38	0,08	0,08	NA	4,172	0,013	0,013	NA	2,374	0,207373528160854	0,207373528160854	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,09197669673881242	0,005783660530884091	0,005783660530884091
