Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
9418	EPIC248794795	0.897	0.066	0.066	5.999	0.144	0.144	4880.0	11.0	11.0	1.417305583	0.01678031472	0.02176456661	-0.6273	0.0088	0.0088	2.82	0.03	0.03	0.00415	0.00043	0.00043	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9419	EPIC246255775	1.378	0.202	0.202	12.64	0.589	0.589	4526.0	7.0	7.0	1.781036939	0.04026571355	0.04026571355	0.0411	0.0073	0.0073	2.384	0.021	0.021	0.00068	0.00014	0.00014	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9420	EPIC211089826	0.903	0.276	0.276	12.51	1.21	1.21	4618.0	8.0	8.0	1.911157609	0.03090684656	0.03325150389	-0.384	0.0082	0.0082	2.259	0.025	0.025	0.00046	0.00019	0.00019	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9421	EPIC245932106	0.964	0.029	0.029	5.26	0.051	0.051	4828.0	10.0	10.0	1.215901813	0.01532182479	0.01215179207	-0.5722	0.0081	0.0081	2.979	0.028	0.028	0.00662	0.00028	0.00028	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9422	EPIC220245148	0.9	0.07	0.07	5.48	0.137	0.137	4780.0	11.0	11.0	1.149834697	0.02214532769	0.02214532769	-0.3582	0.0096	0.0096	2.92	0.029	0.029	0.00547	0.00059	0.00059	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9423	EPIC225004269	1.235	0.19	0.19	11.934	0.588	0.588	4673.0	8.0	8.0	1.820595497	0.02363150143	0.02297507084	-0.0951	0.0074	0.0074	2.363	0.022	0.022	0.00073	0.00016	0.00016	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9424	EPIC248652894	1.14	0.069	0.069	5.325	0.103	0.103	4799.0	10.0	10.0	1.131939295	0.01730767677	0.01730767677	0.0117	0.0085	0.0085	2.997	0.025	0.025	0.00755	0.00063	0.00063	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9425	EPIC212481725	0.998	0.033	0.033	4.628	0.051	0.051	4773.0	13.0	13.0	1.018700499	0.01622364444	0.01988436421	-0.1941	0.0111	0.0111	3.028	0.031	0.031	0.01007	0.00047	0.00047	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9426	EPIC210607672	1.351	0.169	0.169	11.088	0.448	0.448	4735.0	8.0	8.0	1.745855195	0.0350866278	0.0350866278	-0.1994	0.0075	0.0075	2.545	0.023	0.023	0.00099	0.00017	0.00017	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9427	EPIC206188223	1.099	0.059	0.059	4.611	0.08	0.08	4885.0	9.0	9.0	1.037824751	0.015524734	0.015524734	-0.1783	0.0072	0.0072	3.123	0.024	0.024	0.01121	0.00084	0.00084	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9428	EPIC245960662	1.094	0.098	0.098	10.038	0.288	0.288	4453.0	6.0	6.0	1.552668216	0.02554673423	0.02554673423	0.2398	0.0071	0.0071	2.423	0.019	0.019	0.00108	0.00013	0.00013	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9429	EPIC206211295	1.036	0.067	0.067	3.906	0.08	0.08	4981.0	11.0	11.0	0.927370363	0.0179672658	0.0179672658	-0.3417	0.0078	0.0078	3.248	0.027	0.027	0.0174	0.0016	0.0016	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9430	EPIC212653935	1.156	0.253	0.253	14.331	1.015	1.015	4581.0	9.0	9.0	1.908485019	0.06433992324	0.06433992324	-0.488	0.0092	0.0092	2.243	0.028	0.028	0.00039	0.00012	0.00012	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9431	EPIC211840467	0.984	0.046	0.046	5.257	0.079	0.079	4890.0	9.0	9.0	1.17868924	0.01410233904	0.01582915607	-0.2875	0.0074	0.0074	3.035	0.025	0.025	0.00677	0.00044	0.00044	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9432	EPIC246425494	1.051	0.071	0.071	8.76	0.197	0.197	4628.0	7.0	7.0	1.501059262	0.01918019794	0.01918019794	-0.0124	0.0073	0.0073	2.595	0.021	0.021	0.00156	0.00015	0.00015	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9433	EPIC205908296	0.899	0.064	0.064	8.306	0.188	0.188	4779.0	9.0	9.0	1.51054501	0.02010622601	0.02010622601	-0.5408	0.0082	0.0082	2.463	0.027	0.027	0.00157	0.00015	0.00015	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9434	EPIC212698471	0.975	0.125	0.125	14.215	0.589	0.589	4584.0	12.0	12.0	1.894814329	0.04127706504	0.04985339893	-0.6778	0.0126	0.0126	2.008	0.037	0.037	0.000339	0.000061	0.000061	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9435	EPIC212470781	1.381	0.121	0.121	11.373	0.319	0.319	4860.0	9.0	9.0	1.812913357	0.0247213782	0.0247213782	-0.3455	0.0076	0.0076	2.464	0.025	0.025	0.00094	0.00011	0.00011	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9436	EPIC248863335	1.01	0.025	0.025	4.403	0.036	0.036	4790.0	13.0	13.0	0.9633155114	0.008506311942	0.008506311942	0.0546	0.0107	0.0107	3.073	0.029	0.029	0.01183	0.00041	0.00041	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9437	EPIC210378867	1.324	0.116	0.116	8.142	0.228	0.228	4854.0	9.0	9.0	1.521138084	0.02485420228	0.02485420228	-0.196	0.0073	0.0073	2.721	0.024	0.024	0.00245	0.00030	0.00030	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9438	EPIC212389209	0.919	0.105	0.105	9.386	0.344	0.344	4678.0	8.0	8.0	1.579783597	0.03200064603	0.03200064603	-0.4512	0.0082	0.0082	2.49	0.026	0.026	0.00111	0.00018	0.00018	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9439	EPIC201832269	1.101	0.092	0.092	6.647	0.177	0.177	4901.0	10.0	10.0	1.345765693	0.01606321494	0.01606321494	-0.4496	0.0077	0.0077	2.8	0.027	0.027	0.00375	0.00043	0.00043	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9440	EPIC212483392	0.913	0.036	0.036	8.275	0.105	0.105	4676.0	12.0	12.0	1.469674773	0.01192873958	0.01192873958	-0.5251	0.0114	0.0114	2.565	0.034	0.034	0.001611	0.000088	0.000088	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9441	EPIC211926218	1.293	0.095	0.095	22.872	0.552	0.552	4455.0	7.0	7.0	2.312388949	0.04167365462	0.03659666116	-0.2177	0.008	0.008	1.865	0.023	0.023	0.000108	0.000011	0.000011	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9442	EPIC201573709	1.1	0.127	0.127	6.824	0.251	0.251	4794.0	9.0	9.0	1.346352974	0.0313005032	0.0313005032	-0.2542	0.0082	0.0082	2.846	0.026	0.026	0.00346	0.00055	0.00055	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9443	EPIC220612173	1.059	0.113	0.113	8.702	0.297	0.297	4702.0	8.0	8.0	1.522444234	0.02999631557	0.02999631557	-0.4363	0.0081	0.0081	2.53	0.026	0.026	0.00161	0.00024	0.00024	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9444	EPIC211496891	1.287	0.146	0.146	9.843	0.361	0.361	4700.0	8.0	8.0	1.629409599	0.03160358906	0.03160358906	-0.1259	0.0074	0.0074	2.551	0.023	0.023	0.00135	0.00021	0.00021	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9445	EPIC212458977	0.97	0.059	0.059	5.458	0.106	0.106	4783.0	11.0	11.0	1.147676324	0.017309958	0.017309958	-0.3779	0.0098	0.0098	2.903	0.03	0.03	0.00597	0.00050	0.00050	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9446	EPIC246110453	1.358	0.116	0.116	6.547	0.178	0.178	4982.0	11.0	11.0	1.34849957	0.01849304159	0.01713039642	-0.4685	0.0078	0.0078	2.918	0.027	0.027	0.00484	0.00057	0.00057	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9447	EPIC212551026	0.987	0.122	0.122	12.119	0.489	0.489	4501.0	9.0	9.0	1.73479983	0.03519144973	0.03519144973	-0.3958	0.0106	0.0106	2.155	0.03	0.03	0.000555	0.000096	0.000096	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9448	EPIC212640969	1.159	0.183	0.183	12.321	0.618	0.618	4809.0	18.0	18.0	1.863917377	0.04396414728	0.04396414728	-0.7333	0.015	0.015	2.361	0.045	0.045	0.00062	0.00014	0.00014	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
9449	EPIC203663084	1.203	0.159	0.159	8.904	0.378	0.378	4671.0	8.0	8.0	1.531478917	0.03704276463	0.03704276463	-0.0637	0.0073	0.0073	2.611	0.022	0.022	0.00170	0.00031	0.00031	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
