Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
8684	EPIC220316390	1.213	0.081	0.081	6.95	0.15	0.15	4726.0	8.0	8.0	21.71	0.95	0.95	0.0146	0.0071	0.0071	2.791	0.021	0.021	0.00361	0.00034	0.00034	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8685	EPIC248701129	1.115	0.053	0.053	8.234	0.128	0.128	4707.0	8.0	8.0	30.61	1.8	1.63	-0.1032	0.0073	0.0073	2.581	0.022	0.022	0.00200	0.00013	0.00013	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8686	EPIC248151907	1.041	0.059	0.059	8.262	0.15	0.15	4549.0	11.0	11.0	6.577	0.894	0.472	0.0351	0.0116	0.0116	2.642	0.029	0.029	0.00185	0.00015	0.00015	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8687	EPIC220569010	1.201	0.108	0.108	5.997	0.171	0.171	4768.0	8.0	8.0	16.75	0.96	0.96	0.0054	0.007	0.007	2.926	0.021	0.021	0.00557	0.00069	0.00069	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8688	EPIC212559006	0.949	0.059	0.059	9.312	0.188	0.188	4602.0	18.0	18.0	35.0	1.5	1.5	-0.4749	0.0182	0.0182	2.448	0.059	0.059	0.00118	0.00010	0.00010	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8689	EPIC245968556	0.929	0.034	0.034	4.351	0.053	0.053	4836.0	10.0	10.0	9.33	0.24	0.24	-0.1667	0.008	0.008	3.093	0.025	0.025	0.01128	0.00058	0.00058	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8690	EPIC204549815	1.357	0.121	0.121	8.985	0.259	0.259	4702.0	11.0	11.0	35.6	2.1	2.1	-0.3023	0.0106	0.0106	2.542	0.031	0.031	0.00187	0.00023	0.00023	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8691	EPIC220206145	1.015	0.311	0.311	18.898	1.837	1.837	4378.0	7.0	7.0	118	23	23	-0.5323	0.009	0.009	1.854	0.027	0.027	0.000150	0.000064	0.000064	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8692	EPIC204226691	1.635	0.104	0.104	10.82	0.228	0.228	4594.0	6.0	6.0	47.0	2.0	2.0	0.2702	0.0067	0.0067	2.572	0.019	0.019	0.00129	0.00012	0.00012	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8693	EPIC220196694	1.096	0.094	0.094	9.266	0.251	0.251	4654.0	15.0	15.0	41.09	2.16	2.03	-0.299	0.0143	0.0143	2.504	0.038	0.038	0.00138	0.00016	0.00016	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
