Teff,logg,Meta,eTeff,elogg,eMeta
6120.0,4.13,0.0,50.0,0.1,0.1
6118.4,4.092,0.01,124.2,0.189,0.16349999999999998
6118.0,4.35,0.0,111.91499999999999,0.1355,0.164
6117.0,4.33,-0.06,66.975,0.0935,0.109
6117.0,4.279,0.12,27.0,0.041,0.04
6116.0,4.4,-0.13,62.93,0.063,0.1075
6116.0,4.33,0.05,158.88,0.1635,0.1405
6113.0,4.33,0.07,152.45,0.16,0.139
6113.0,4.26,0.06,67.0,0.11549999999999999,0.0785
6113.0,4.27,-0.02,69.64,0.1275,0.0955
6112.0,3.97,0.03,60.115,0.011,0.0445
6112.0,4.08,-0.06,60.7,0.017,0.07450000000000001
6112.0,4.41,-0.03,64.91499999999999,0.033,0.0965
6112.0,4.33,0.06,157.52,0.1655,0.14150000000000001
6110.0,3.958,0.06,101.0,0.0545,0.07
6109.0,4.35,0.01,172.665,0.133,0.156
6106.0,4.19,-0.15,83.33500000000001,0.0155,0.11
6106.0,4.23,0.36,70.475,0.0975,0.069
6104.0,4.294,-0.2,74.0,0.03,0.1
6104.0,4.35,0.0,168.85500000000002,0.14450000000000002,0.14800000000000002
6102.0,4.247,0.26,54.0,0.033,0.04
6101.0,3.95,0.14,101.565,0.0775,0.087
6100.0,4.29,0.07,100.0,0.02,0.09
6100.0,4.38,0.22,84.945,0.0275,0.07100000000000001
6100.0,4.376,-0.12,203.5,0.15,0.275
6100.0,3.94,-0.1,263.0,0.44,0.08
6100.0,4.19,-0.25,65.0,0.03,0.06
6099.0,4.34,0.02,151.76,0.14600000000000002,0.155
6098.0,4.35,-0.01,107.44999999999999,0.137,0.159
6097.0,4.34,0.07,106.985,0.129,0.139
6096.0,4.39,0.08,32.0,0.01,0.06
6096.0,3.84,0.38,45.7,0.07450000000000001,0.0525
6096.0,4.33,0.07,167.785,0.15,0.14450000000000002
6095.0,4.32,0.08,104.505,0.1575,0.144
6092.0,4.496,-0.22,190.5,0.1365,0.3
6092.0,4.36,-0.01,106.39,0.1315,0.1595
6091.0,4.42,-0.04,188.5,0.18,0.26
6090.0,4.447,0.21,200.5,0.126,0.275
6090.0,4.43,-0.2,70.0,0.1,0.1
6089.0,4.37,-0.03,98.96000000000001,0.11149999999999999,0.16299999999999998
6087.0,4.35,-0.1,67.06,0.088,0.1185
6087.0,4.39,0.02,90.86,0.0465,0.0815
6086.0,4.511,-0.26,191.0,0.1365,0.3
6086.0,4.29,0.03,146.69,0.276,0.192
6085.0,4.451,-0.28,191.0,0.14150000000000001,0.3
6083.0,4.35,0.03,213.575,0.1615,0.15050000000000002
6082.0,4.35,0.01,200.07,0.1495,0.1555
6080.0,4.35,0.02,256.91,0.156,0.14350000000000002
6079.0,4.34,-0.12,93.47999999999999,0.10500000000000001,0.125
6078.0,4.34,0.04,116.845,0.14200000000000002,0.14250000000000002
6077.0,4.36,0.0,235.26,0.13,0.157
6077.0,4.36,0.02,171.735,0.1325,0.15300000000000002
6075.0,4.26,-0.18,81.875,0.11049999999999999,0.1305
6074.0,4.375,-0.54,181.0,0.16549999999999998,0.3
6074.0,4.35,0.02,120.28,0.1385,0.14750000000000002
6072.0,4.411,-0.3,182.0,0.15,0.3
6071.0,4.239,-0.06,134.0,0.13,0.15
6069.0,4.37,0.0,89.905,0.123,0.168
6069.0,4.22,0.1,90.0,0.02,0.05
6068.0,4.04,0.16,82.0,0.147,0.125
6068.0,4.35,0.02,175.56,0.1465,0.14450000000000002
6067.0,4.42,-0.03,65.425,0.034,0.0985
6064.0,4.28,0.14,79.805,0.18,0.14600000000000002
6063.0,4.476,0.07,199.0,0.12,0.275
6063.0,4.47,-0.02,211.0,0.135,0.275
6063.0,4.38,0.41,50.0,0.1,0.08
6062.0,4.37,-0.02,228.58499999999998,0.1495,0.16699999999999998
6061.0,4.486,-0.1,189.0,0.125,0.275
6061.0,4.04,0.14,96.0,0.03,0.06
6060.0,4.32,0.01,66.69,0.0125,0.083
6060.0,4.509,-0.22,172.0,0.12,0.3
6060.0,4.36,0.03,145.075,0.125,0.15000000000000002
6060.0,4.24,0.04,30.0,0.03,0.02
6059.0,4.39,0.16,69.0,0.025,0.04
6058.0,4.34,0.07,134.95,0.1325,0.1455
6058.0,4.29,0.29,82.81,0.0925,0.0685
6056.0,3.797,0.14,81.0,0.19,0.125
6053.0,4.35,0.03,129.96,0.14200000000000002,0.14750000000000002
6052.0,4.42,0.12,49.305,0.017,0.0765
6052.0,4.456,-0.26,181.0,0.14,0.3
6051.0,4.36,0.03,162.72,0.136,0.14250000000000002
6050.0,3.9,0.0,100.0,0.2,0.3
6050.0,4.34,0.19,50.0,0.05,0.05
6050.0,4.44,-0.02,100.0,0.02,0.11
6050.0,4.2485,0.34,100.0,0.001,0.1
6050.0,4.137,0.14,211.0,0.21000000000000002,0.25
6050.0,4.33,0.13,78.14500000000001,0.07350000000000001,0.0795
6047.0,4.343,-0.08,180.0,0.16,0.275
6046.0,4.478,0.07,200.5,0.135,0.275
6046.0,4.158,-0.16,127.0,0.1375,0.175
6046.0,4.4,-0.01,70.625,0.049,0.0945
6045.0,4.37,-0.02,134.59,0.1375,0.1545
6045.0,4.08,0.01,50.0,0.1,0.08
6041.0,4.26,0.33,143.0,0.05,0.11
6040.0,4.26,0.23,90.0,0.06,0.14
6040.0,4.36,0.02,113.63,0.134,0.151
6040.0,3.978,-0.44,201.0,0.3055,0.3
6040.0,4.31,-0.01,90.0,0.065,0.13
6038.0,4.34,0.14,103.51,0.1305,0.145
6037.0,4.38,-0.02,182.675,0.134,0.1585
6036.0,4.491,-0.16,180.0,0.13,0.32499999999999996
6035.0,4.45,-0.09,67.5,0.026000000000000002,0.10250000000000001
6035.0,4.32,0.14,103.03999999999999,0.1635,0.1465
6035.0,4.35,0.05,100.0,0.15,0.15
6033.0,3.985,-0.1,183.0,0.19,0.3
6032.0,4.387,-0.14,210.5,0.1545,0.3
6032.0,4.485,-0.06,189.0,0.135,0.275
6031.0,4.37,0.02,129.71,0.1295,0.14200000000000002
6028.0,4.37,0.06,149.115,0.122,0.133
6028.0,4.189,0.14,81.0,0.1355,0.15
6027.0,4.39,0.0,230.5,0.04,0.18
6026.0,4.37,0.0,96.44,0.068,0.0805
6025.0,4.3,0.18,97.49000000000001,0.0975,0.089
6023.0,4.37,-0.13,74.445,0.095,0.1165
6022.0,4.31,0.07,74.34,0.10650000000000001,0.0835
6021.0,4.38,0.0,93.30000000000001,0.064,0.08
6020.0,4.37,0.03,183.245,0.1395,0.15500000000000003
6020.0,4.39,-0.14,76.86,0.08549999999999999,0.1185
6020.0,4.403,-0.06,211.0,0.14500000000000002,0.275
6020.0,4.389,0.0,120.5,0.0945,0.15
6019.0,4.35,0.03,302.84000000000003,0.16749999999999998,0.14350000000000002
6018.0,4.257,0.06,120.0,0.1245,0.15
6018.0,4.37,0.02,160.76999999999998,0.1335,0.14700000000000002
6017.0,4.24,0.18,46.0,0.03,0.04
6014.0,4.36,0.03,133.29000000000002,0.1505,0.14300000000000002
6014.0,4.37,0.02,255.03,0.16,0.14650000000000002
6014.0,4.39,0.02,80.7,0.054,0.081
6012.0,4.36,0.08,153.345,0.14800000000000002,0.1425
6011.0,4.38,0.03,129.60500000000002,0.125,0.15300000000000002
6010.0,4.13,0.26,140.0,0.04,0.12
6010.0,4.36,0.05,156.67000000000002,0.1235,0.142
6010.0,4.37,0.03,95.16,0.129,0.153
6005.0,4.2,-0.1,50.0,0.05,0.05
6005.0,4.37,0.01,102.22999999999999,0.11649999999999999,0.16299999999999998
6004.0,4.484,-0.02,190.0,0.13,0.275
6004.0,4.4,0.07,75.0,0.15,0.1
6004.0,4.45,-0.18,77.5,0.035,0.06
6002.0,4.49,-0.02,164.0,0.16,0.1
6002.0,4.38,-0.01,83.435,0.11699999999999999,0.16899999999999998
6002.0,4.424,0.2,80.0,0.076,0.15
6000.0,4.09,0.12,100.0,0.05,0.08
6000.0,4.37,-0.01,100.0,0.05,0.09
6000.0,4.44,0.09,75.0,0.1,0.06
6000.0,3.9,0.29,100.0,0.03,0.06
6000.0,4.01,-0.013,40.0,0.16,0.023
6000.0,4.44,0.42,100.0,0.01,0.11
6000.0,4.35,0.07,127.57,0.1355,0.14200000000000002
6000.0,4.363,0.06,120.5,0.1,0.15
6000.0,4.37,0.08,86.86500000000001,0.129,0.1515
5998.0,4.37,0.02,273.1,0.1485,0.14850000000000002
5998.0,4.36,0.07,88.21000000000001,0.136,0.14150000000000001
5997.0,4.28,0.22,71.805,0.11199999999999999,0.079
5995.0,4.37,0.04,111.88,0.129,0.14800000000000002
5994.0,4.43,0.08,92.0,0.025,0.08
5993.0,4.37,0.09,126.75,0.132,0.1495
5992.0,4.36,0.09,118.25,0.137,0.1475
5991.0,4.38,0.01,160.23000000000002,0.123,0.152
5990.0,4.075,-0.2,50.0,0.018,0.07
5990.0,4.2,-0.2,100.0,0.15,0.3
5988.0,4.28,0.07,73.38499999999999,0.128,0.08449999999999999
5988.0,4.02,-0.48,25.0,0.22,0.06
5987.0,4.38,0.01,295.385,0.145,0.1565
5986.0,4.527,-0.5,197.0,0.126,0.3
5986.0,4.38,-0.02,83.96000000000001,0.07250000000000001,0.10550000000000001
5985.0,4.38,0.04,118.385,0.121,0.15000000000000002
5984.0,4.521,-0.2,188.0,0.13,0.3
5983.0,4.41,-0.04,114.37,0.10350000000000001,0.16399999999999998
5982.0,4.493,-0.04,210.5,0.12,0.3
5982.0,4.535,-0.28,177.5,0.126,0.3
5981.0,4.37,0.06,85.13,0.134,0.155
5980.0,3.8,0.15,80.0,0.2,0.08
5980.0,4.359,0.13,49.0,0.014,0.008
5979.0,4.1,-0.18,60.0,0.1,0.04
5979.0,4.39,0.04,98.07,0.11349999999999999,0.156
5979.0,4.21,0.1,52.0,0.1,0.08
5977.0,4.31,-0.01,87.0,0.03,0.05
5977.0,4.42,0.02,18.0,0.02,0.01
5976.0,4.39,-0.08,225.0,0.1345,0.1735
5975.3,3.896,0.252,109.80000000000001,0.041,0.14900000000000002
5975.0,4.39,-0.01,155.905,0.10600000000000001,0.159
5975.0,4.4,0.05,61.265,0.055,0.082
5973.0,4.38,0.15,92.635,0.051500000000000004,0.0595
5973.0,4.171,-0.34,114.0,0.14450000000000002,0.15
5972.0,4.39,-0.01,157.19,0.136,0.1555
5971.0,4.38,0.08,156.10000000000002,0.127,0.145
5971.0,4.36,0.06,148.12,0.152,0.149
5970.0,4.355,0.06,194.5,0.152,0.275
5967.0,4.39,0.04,104.765,0.1175,0.149
5967.0,4.36,0.14,111.435,0.132,0.1545
