hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
HD 99109,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5282.0,32.0,-32.0,0.0,0.98,0.02,-0.02,0.0,0.76,0.1,-0.1,0.0,0.35,,,0.0,[Fe/H],,,,,4.34,0.05,-0.05,0.0
CoRoT-7,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5275.0,75.0,-75.0,0.0,0.83,0.04,-0.04,0.0,0.82,0.17,-0.17,0.0,0.05,,,0.0,[Fe/H],,,,,4.5,0.1,-0.1,0.0
Kepler-118,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5274.0,200.0,-200.0,0.0,1.094,0.489,-0.489,0.0,,,,,,,,,,,,,,4.321,0.3,-0.3,0.0
Kepler-148,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5272.0,200.0,-200.0,0.0,0.851,0.413,-0.413,0.0,,,,,,,,,,,,,,4.546,0.3,-0.3,0.0
HD 98736,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,,5271.0,,,0.0,0.93,0.04,-0.04,0.0,0.92,0.13,-0.13,0.0,0.36,,,0.0,[Fe/H],-0.22,0.03,-0.03,0.0,,,,
Kepler-263,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5265.0,200.0,-200.0,0.0,0.785,0.427,-0.427,0.0,,,,,,,,,,,,,,4.576,0.3,-0.3,0.0
HD 3167,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5261.0,60.0,-60.0,0.0,0.88,0.012,-0.013,0.0,0.837,0.053,-0.043,0.0,0.04,0.05,-0.05,0.0,[Fe/H],,,,,,,,
TOI-849,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,,5257.0,108.0,-116.0,0.0,0.97,0.1,-0.1,0.0,0.97,0.04,-0.04,0.0,,,,,,,,,,,,,
TOI-2211,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5253.0,123.0,-123.0,0.0,0.834,0.047,-0.047,0.0,0.9,0.11,-0.11,0.0,,,,,,,,,,,,,
Kepler-260,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5250.0,257.0,-257.0,0.0,0.862,0.233,-0.233,0.0,,,,,,,,,,,,,,4.494,0.2,-0.2,0.0
HD 103197,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5250.0,84.0,-84.0,0.0,0.88,0.03,-0.03,0.0,0.8,0.28,-0.28,0.0,0.22,,,0.0,[Fe/H],,,,,4.45,0.15,-0.15,0.0
TOI-4308,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,,5243.0,126.0,-126.0,0.0,0.7934,0.0465,-0.0465,0.0,0.9,0.1133,-0.1133,0.0,,,,,,,,,,4.593,0.087,-0.087,0.0
Kepler-221,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5243.0,100.0,-100.0,0.0,0.821,0.075,-0.075,0.0,,,,,,,,,,,,,,4.543,0.15,-0.15,0.0
KOI-7368,<a refstr=BOUMA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220501112B/abstract target=ref>Bouma et al. 2022</a>,,5241.0,100.0,-100.0,0.0,0.874,0.036,-0.036,0.0,0.879,0.018,-0.018,0.0,,,,,,,,,,4.499,0.03,-0.03,0.0
Kepler-189,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5235.0,200.0,-200.0,0.0,0.75,0.376,-0.376,0.0,,,,,,,,,,,,,,4.619,0.3,-0.3,0.0
