hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
Kepler-376,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5900.0,100.0,-100.0,0.0,1.175,0.234,-0.234,0.0,,,,,,,,,,,,,,4.303,0.15,-0.15,0.0
K2-79,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5897.0,118.0,-118.0,0.0,1.265,0.041,-0.027,0.0,1.066,0.057,-0.07,0.0,0.035,0.06,-0.06,0.0,[Fe/H],,,,,,,,
Kepler-308,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5895.0,200.0,-200.0,0.0,0.941,0.452,-0.452,0.0,,,,,,,,,,,,,,4.508,0.3,-0.3,0.0
HD 224693,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G2 V,5894.0,,,0.0,1.93,0.18,-0.18,0.0,1.31,0.29,-0.29,0.0,0.27,,,0.0,[Fe/H],0.61,0.08,-0.08,0.0,,,,
TOI-261,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,5890.3,,,0.0,1.28018,,,0.0,0.496728,,,0.0,,,,,,,,,,3.92,,,0.0
Kepler-183,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5888.0,200.0,-200.0,0.0,0.958,0.414,-0.414,0.0,,,,,,,,,,,,,,4.502,0.3,-0.3,0.0
Kepler-400,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5886.0,100.0,-100.0,0.0,1.145,0.208,-0.208,0.0,,,,,,,,,,,,,,4.35,0.15,-0.15,0.0
Kepler-266,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5885.0,250.0,-250.0,0.0,1.028,0.498,-0.498,0.0,,,,,,,,,,,,,,4.453,0.3,-0.3,0.0
Kepler-130,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5884.0,75.0,-75.0,0.0,1.127,0.033,-0.033,0.0,,,,,,,,,,,,,,4.304,0.053,-0.053,0.0
HD 147513,<a refstr=MAYOR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...415..391M/abstract target=ref> Mayor et al. 2004 </a>,,5883.0,,,0.0,,,,,1.11,,,0.0,0.06,,,0.0,[Fe/H],-0.01,,,0.0,4.51,,,0.0
HD 30562,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5882.0,10.0,-10.0,0.0,1.61,0.03,-0.03,0.0,1.12,0.07,-0.07,0.0,0.2,,,0.0,[Fe/H],,,,,4.07,0.02,-0.02,0.0
TOI-1716,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5879.0,141.0,-141.0,0.0,1.24,0.07,-0.07,0.0,1.07,0.14,-0.14,0.0,,,,,,,,,,,,,
HD 34445,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5879.0,16.0,-16.0,0.0,1.38,0.02,-0.02,0.0,1.14,0.09,-0.09,0.0,0.18,,,0.0,[Fe/H],,,,,4.21,0.03,-0.03,0.0
Kepler-1676,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5878.3,19.3,-19.3,0.0,1.06066,0.054277,-0.054277,0.0,,,,,0.135,0.018,-0.018,0.0,[M/H],,,,,,,,
Kepler-335,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5877.0,112.0,-112.0,0.0,1.854,0.35,-0.35,0.0,,,,,,,,,,,,,,4.017,0.16,-0.16,0.0
TOI-5726,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5874.0,119.0,-119.0,0.0,1.106,0.051,-0.051,0.0,1.06,0.13,-0.13,0.0,,,,,,,,,,,,,
HD 106252,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5874.0,10.0,-10.0,0.0,1.1,0.02,-0.02,0.0,1.01,0.05,-0.05,0.0,-0.06,,,0.0,[Fe/H],,,,,4.36,0.02,-0.02,0.0
HD 141937,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5870.0,9.0,-9.0,0.0,1.03,0.01,-0.01,0.0,1.09,0.05,-0.05,0.0,0.11,,,0.0,[Fe/H],,,,,4.45,0.02,-0.02,0.0
EPIC 229004835,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5868.0,60.0,-60.0,0.0,0.999,0.008,-0.008,0.0,0.97,0.04,-0.04,0.0,-0.12,0.05,-0.05,0.0,[Fe/H],,,,,,,,
Kepler-336,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5867.0,100.0,-100.0,0.0,1.304,0.23,-0.23,0.0,,,,,,,,,,,,,,4.264,0.15,-0.15,0.0
HD 13931,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5867.0,25.0,-25.0,0.0,1.25,0.02,-0.02,0.0,1.3,0.13,-0.13,0.0,0.05,,,0.0,[Fe/H],,,,,4.36,0.04,-0.04,0.0
HAT-P-4,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,,5860.0,80.0,-80.0,0.0,1.596,0.06,-0.075,0.0,1.248,0.07,-0.12,0.0,,,,,,0.431,0.056,-0.062,0.0,4.127,0.019,-0.027,0.0
TOI-1777,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5859.0,102.0,-102.0,0.0,0.98,0.04,-0.04,0.0,1.06,0.13,-0.13,0.0,,,,,,,,,,,,,
HD 164509,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G5,5859.0,,,0.0,1.11,0.06,-0.06,0.0,1.12,0.19,-0.19,0.0,0.2,,,0.0,[Fe/H],0.12,0.05,-0.05,0.0,,,,
HD 149143,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G0,5856.0,,,0.0,1.44,0.08,-0.08,0.0,1.2,0.2,-0.2,0.0,0.29,,,0.0,[Fe/H],0.35,0.05,-0.05,0.0,,,,
Kepler-227,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5854.0,200.0,-200.0,0.0,1.091,0.547,-0.547,0.0,,,,,,,,,,,,,,4.401,0.3,-0.3,0.0
Kepler-108,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5854.0,92.0,-92.0,0.0,2.192,0.121,-0.121,0.0,,,,,,,,,,,,,,3.895,0.076,-0.076,0.0
Kepler-107,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5854.0,61.0,-61.0,0.0,1.447,0.014,-0.014,0.0,1.238,0.029,-0.029,0.0,0.321,0.065,-0.065,0.0,[Fe/H],,,,,,,,
Kepler-1675,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5853.19,19.54,-19.54,0.0,1.12865,,,0.0,1.06,,,0.0,0.2537,0.0183,-0.0183,0.0,[M/H],0.12938,,,0.0,4.35826,,,0.0
Kepler-370,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5852.0,200.0,-200.0,0.0,0.9,0.416,-0.416,0.0,,,,,,,,,,,,,,4.531,0.3,-0.3,0.0
Kepler-212,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5852.0,100.0,-100.0,0.0,1.455,0.272,-0.272,0.0,,,,,,,,,,,,,,4.182,0.15,-0.15,0.0
TrES-2,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5850.0,50.0,-50.0,0.0,1.12,0.07,-0.07,0.0,1.36,0.3,-0.3,0.0,-0.15,,,0.0,[Fe/H],,,,,4.43,0.02,-0.02,0.0
K2-6,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,5850.0,79.0,-98.0,0.0,0.96,0.14,-0.09,0.0,0.97,0.07,-0.07,0.0,-0.14,0.17,-0.2,0.0,[Fe/H],,,,,,,,
Kepler-143,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5848.0,168.0,-168.0,0.0,1.359,0.32,-0.32,0.0,,,,,,,,,,,,,,4.202,0.17,-0.17,0.0
Kepler-68,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5847.0,75.0,-75.0,0.0,1.2564,0.0084,-0.0084,0.0,1.057,0.022,-0.02,0.0,0.11,0.06,-0.06,0.0,[Fe/H],,,,,,,,
Kepler-269,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5847.0,250.0,-250.0,0.0,0.959,0.429,-0.429,0.0,,,,,,,,,,,,,,4.5,0.3,-0.3,0.0
Kepler-232,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5847.0,200.0,-200.0,0.0,0.968,0.46,-0.46,0.0,,,,,,,,,,,,,,4.495,0.3,-0.3,0.0
HD 109246,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5844.0,21.0,-21.0,0.0,1.07,0.02,-0.02,0.0,1.2,0.53,-0.53,0.0,0.1,,,0.0,[Fe/H],,,,,4.46,0.19,-0.19,0.0
HD 170469,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5842.0,28.0,-28.0,0.0,1.24,0.02,-0.02,0.0,1.1,0.08,-0.08,0.0,0.29,,,0.0,[Fe/H],,,,,4.3,0.03,-0.03,0.0
Kepler-262,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5841.0,200.0,-200.0,0.0,0.881,0.361,-0.361,0.0,,,,,,,,,,,,,,4.541,0.3,-0.3,0.0
Kepler-1670,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5838.0,122.0,-122.0,0.0,1.51889,,,0.0,1.05,,,0.0,,,,,,0.3828,,,0.0,4.0962,,,0.0
Kepler-265,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5835.0,118.0,-118.0,0.0,1.103,0.228,-0.228,0.0,,,,,,,,,,,,,,4.326,0.15,-0.15,0.0
TOI-4443,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,5834.0,,,0.0,1.01733,,,0.0,1.049133,,,0.0,,,,,,,,,,4.44433,,,0.0
WASP-95,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5830.0,140.0,-140.0,0.0,1.23,0.09,-0.09,0.0,1.46,0.42,-0.42,0.0,0.14,,,0.0,[Fe/H],,,,,4.36,0.07,-0.07,0.0
Kepler-334,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5828.0,100.0,-100.0,0.0,1.068,0.194,-0.194,0.0,,,,,,,,,,,,,,4.385,0.15,-0.15,0.0
Kepler-23,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,,5828.0,100.0,-100.0,0.0,1.548,0.048,-0.048,0.0,1.078,0.077,-0.077,0.0,,,,,,,,,,,,,
Kepler-375,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5826.0,200.0,-200.0,0.0,0.837,0.291,-0.291,0.0,,,,,,,,,,,,,,4.567,0.3,-0.3,0.0
HD 109749,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G3 V,5824.0,,,0.0,1.22,0.09,-0.09,0.0,1.13,0.22,-0.22,0.0,0.24,,,0.0,[Fe/H],0.19,0.06,-0.06,0.0,,,,
Kepler-203,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5821.0,100.0,-100.0,0.0,1.114,0.213,-0.213,0.0,,,,,,,,,,,,,,4.358,0.15,-0.15,0.0
Kepler-405,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5818.0,250.0,-250.0,0.0,0.893,0.425,-0.425,0.0,,,,,,,,,,,,,,4.536,0.3,-0.3,0.0
Kepler-162,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5816.0,200.0,-200.0,0.0,0.958,0.509,-0.509,0.0,,,,,,,,,,,,,,4.436,0.3,-0.3,0.0
Kepler-301,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5815.0,200.0,-200.0,0.0,0.9,0.481,-0.481,0.0,,,,,,,,,,,,,,4.525,0.3,-0.3,0.0
Kepler-204,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5812.0,100.0,-100.0,0.0,1.238,0.263,-0.263,0.0,,,,,,,,,,,,,,4.269,0.16,-0.16,0.0
Kepler-343,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5807.0,100.0,-100.0,0.0,1.433,0.261,-0.261,0.0,,,,,,,,,,,,,,4.184,0.15,-0.15,0.0
WASP-164,<a refstr=LENDL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482..301L/abstract target=ref>Lendl et al. 2019</a>,G2 V,5806.0,190.0,-200.0,0.0,0.932,0.028,-0.03,0.0,0.946,0.067,-0.071,0.0,-0.01,0.19,-0.2,0.0,[Fe/H],,,,,,,,
Kepler-287,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5806.0,200.0,-200.0,0.0,1.032,0.466,-0.466,0.0,,,,,,,,,,,,,,4.402,0.3,-0.3,0.0
Kepler-293,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5804.0,200.0,-200.0,0.0,0.957,0.398,-0.398,0.0,,,,,,,,,,,,,,4.504,0.3,-0.3,0.0
HD 24040,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5802.0,15.0,-15.0,0.0,1.3,0.02,-0.02,0.0,1.11,0.12,-0.12,0.0,0.19,,,0.0,[Fe/H],,,,,4.26,0.05,-0.05,0.0
HD 6718,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5801.0,41.0,-41.0,0.0,0.95,0.02,-0.02,0.0,1.08,0.21,-0.21,0.0,-0.03,,,0.0,[Fe/H],,,,,4.51,0.08,-0.08,0.0
WASP-58,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5800.0,150.0,-150.0,0.0,1.22,0.11,-0.11,0.0,1.06,0.47,-0.47,0.0,-0.45,,,0.0,[Fe/H],,,,,4.27,0.09,-0.09,0.0
WASP-126,<a refstr=PEARSON_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..243P/abstract target=ref>Pearson 2019</a>,,5800.0,,,0.0,1.27,,,0.0,1.12,,,0.0,,,,,,,,,,,,,
TOI-4633,<a refstr=EISNER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..241E/abstract target=ref>Eisner et al. 2024</a>,G V,5800.0,50.0,-50.0,0.0,1.05,0.05,-0.05,0.0,1.1,0.06,-0.06,0.0,,,,,,,,,,,,,
Kepler-310,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5797.0,200.0,-200.0,0.0,0.876,0.406,-0.406,0.0,,,,,,,,,,,,,,4.521,0.3,-0.3,0.0
HD 107148,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,5797.0,,,0.0,,,,,1.12,,,0.0,0.314,,,0.0,[Fe/H],,,,,4.446,,,0.0
Kepler-315,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5796.0,108.0,-108.0,0.0,1.037,0.202,-0.202,0.0,,,,,,,,,,,,,,4.377,0.15,-0.15,0.0
Kepler-142,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5790.0,100.0,-100.0,0.0,1.269,0.245,-0.245,0.0,,,,,,,,,,,,,,4.262,0.15,-0.15,0.0
HD 222582,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5790.0,14.0,-14.0,0.0,1.13,0.02,-0.02,0.0,1.12,0.06,-0.06,0.0,0.01,,,0.0,[Fe/H],,,,,4.38,0.02,-0.02,0.0
HD 210193,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,G3 V,5790.0,38.0,-50.0,0.0,,,,,1.04,0.06,-0.06,0.0,,,,,,,,,,,,,
Kepler-362,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5788.0,200.0,-200.0,0.0,0.722,0.304,-0.304,0.0,,,,,,,,,,,,,,4.639,0.3,-0.3,0.0
Kepler-184,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5788.0,200.0,-200.0,0.0,0.873,0.49,-0.49,0.0,,,,,,,,,,,,,,4.51,0.3,-0.3,0.0
Kepler-373,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5787.0,200.0,-200.0,0.0,0.845,0.418,-0.418,0.0,,,,,,,,,,,,,,4.562,0.3,-0.3,0.0
Kepler-219,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5786.0,100.0,-100.0,0.0,1.491,0.249,-0.249,0.0,,,,,,,,,,,,,,4.157,0.15,-0.15,0.0
Kepler-17,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5781.0,85.0,-85.0,0.0,1.01034,,,0.0,1.04,,,0.0,0.26,0.1,-0.1,0.0,[M/H],0.01164,,,0.0,4.44616,,,0.0
NGC 2682 YBP 1194,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,G5 V,5780.0,27.0,-27.0,0.0,,,,,1.01,0.02,-0.02,0.0,,,,,,,,,,4.44,0.05,-0.05,0.0
TOI-1723,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5777.0,125.0,-125.0,0.0,1.09,0.05,-0.05,0.0,1.04,0.13,-0.13,0.0,,,,,,,,,,,,,
Kepler-163,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5776.0,200.0,-200.0,0.0,0.917,0.38,-0.38,0.0,,,,,,,,,,,,,,4.524,0.3,-0.3,0.0
K2-111,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5775.0,70.0,-70.0,0.0,1.25,0.02,-0.02,0.0,0.84,0.02,-0.02,0.0,-0.46,0.05,-0.05,0.0,[Fe/H],,,,,,,,
Kepler-387,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5774.0,154.0,-154.0,0.0,1.046,0.24,-0.24,0.0,,,,,,,,,,,,,,4.353,0.15,-0.15,0.0
Kepler-344,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5774.0,200.0,-200.0,0.0,0.976,0.454,-0.454,0.0,,,,,,,,,,,,,,4.451,0.3,-0.3,0.0
HD 160691,<a refstr=BENEDICT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..295B/abstract target=ref>Benedict et al. 2022</a>,G3 IV-V,5773.0,,,0.0,1.33,0.02,-0.02,0.0,1.13,0.02,-0.02,0.0,0.28,0.03,-0.03,0.0,[Fe/H],,,,,4.2,0.1,-0.1,0.0
Kepler-129,<a refstr=ZHANG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...89Z/abstract target=ref>Zhang et al. 2021</a>,G4 V,5770.0,83.0,-83.0,0.0,1.653,0.009,-0.012,0.0,1.178,0.021,-0.03,0.0,0.29,0.1,-0.1,0.0,[Fe/H],,,,,,,,
HD 6434,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5769.0,14.0,-14.0,0.0,1.12,0.01,-0.01,0.0,1.1,0.13,-0.13,0.0,-0.55,,,0.0,[Fe/H],,,,,4.38,0.05,-0.05,0.0
HD 202206,<a refstr=BENEDICT__AMP__HARRISON_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..258B/abstract target=ref>Benedict &amp; Harrison 2017</a>,G6 V,5766.0,,,0.0,1.04,0.01,-0.01,0.0,1.07,0.08,-0.08,0.0,0.3,0.1,-0.1,0.0,[Fe/H],,,,,4.5,0.1,-0.1,0.0
BD+20 594,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766.0,99.0,-99.0,0.0,1.08,0.06,-0.06,0.0,1.67,0.4,-0.4,0.0,-0.15,,,0.0,[Fe/H],,,,,4.5,0.08,-0.08,0.0
Kepler-206,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5764.0,100.0,-100.0,0.0,1.185,0.228,-0.228,0.0,,,,,,,,,,,,,,4.311,0.15,-0.15,0.0
TOI-1691,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5759.0,187.0,-187.0,0.0,1.0,0.05,-0.05,0.0,1.03,0.14,-0.14,0.0,,,,,,,,,,,,,
HATS-51,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,,5758.0,58.0,-58.0,0.0,1.44,0.18,-0.18,0.0,1.187,0.06,-0.06,0.0,,,,,,0.30963,0.10199,-0.13354,0.0,4.198,0.088,-0.088,0.0
