hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
Kepler-1218,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5986.0,91.33,-76.59,0.0,1.1,0.112,-0.085,0.0,1.06,0.048,-0.048,0.0,-0.02,0.1,-0.111,0.0,[Fe/H],,,,,4.38,0.067,-0.078,0.0
Kepler-1044,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5985.0,112.26,-124.51,0.0,1.11,0.254,-0.118,0.0,1.08,0.081,-0.065,0.0,0.04,0.137,-0.163,0.0,[Fe/H],,,,,4.38,0.08,-0.162,0.0
Kepler-1884,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5984.0,188.0,-188.0,0.0,0.906,0.279,-0.093,0.0,0.993,0.131,-0.131,0.0,-0.2,0.3,-0.3,0.0,[Fe/H],,,,,4.521,0.039,-0.221,0.0
Kepler-1184,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5983.0,110.01,-118.73,0.0,1.07,0.195,-0.109,0.0,1.05,0.074,-0.069,0.0,-0.04,0.146,-0.182,0.0,[Fe/H],,,,,4.41,0.072,-0.135,0.0
Kepler-1914,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5982.0,189.0,-232.0,0.0,0.96,0.27,-0.108,0.0,1.047,0.126,-0.139,0.0,-0.04,0.25,-0.35,0.0,[Fe/H],,,,,4.493,0.048,-0.192,0.0
Kepler-1851,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5982.0,167.0,-188.0,0.0,0.879,0.257,-0.086,0.0,0.967,0.118,-0.129,0.0,-0.28,0.3,-0.3,0.0,[Fe/H],,,,,4.535,0.048,-0.204,0.0
Kepler-1344,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5981.0,78.95,-91.31,0.0,1.13,0.306,-0.12,0.0,1.09,0.088,-0.065,0.0,0.06,0.145,-0.165,0.0,[Fe/H],,,,,4.37,0.085,-0.183,0.0
NGTS-20,<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>,G1 IV,5980.0,80.0,-80.0,0.0,1.78,0.05,-0.05,0.0,1.47,0.09,-0.09,0.0,0.15,0.08,-0.08,0.0,[Fe/H],,,,,3.8,0.2,-0.2,0.0
HAT-P-1,<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>,,5980.0,49.0,-49.0,0.0,1.174,0.026,-0.027,0.0,1.151,0.052,-0.051,0.0,0.13,0.008,-0.008,0.0,[Fe/H],,,,,4.359,0.014,-0.014,0.0
Kepler-36,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,,5979.0,60.0,-60.0,0.0,1.634,0.042,-0.04,0.0,1.034,0.022,-0.022,0.0,-0.18,0.04,-0.04,0.0,[Fe/H],,,,,4.1,0.1,-0.1,0.0
