hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
CoRoT-14,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,F9 V,6035.0,100.0,-100.0,0.0,1.21,0.08,-0.08,0.0,1.13,0.09,-0.09,0.0,0.05,0.15,-0.15,0.0,[Fe/H],,,,,4.35,0.15,-0.15,0.0
Kepler-1988,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6033.0,183.0,-183.0,0.0,1.788,0.351,-0.571,0.0,1.127,0.189,-0.172,0.0,-0.1,0.3,-0.3,0.0,[Fe/H],,,,,3.985,0.266,-0.114,0.0
Kepler-1989,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6032.0,189.0,-232.0,0.0,1.06,0.312,-0.168,0.0,0.999,0.153,-0.126,0.0,-0.14,0.3,-0.3,0.0,[Fe/H],,,,,4.387,0.108,-0.201,0.0
Kepler-1943,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6032.0,168.0,-210.0,0.0,0.973,0.315,-0.105,0.0,1.055,0.139,-0.139,0.0,-0.06,0.25,-0.3,0.0,[Fe/H],,,,,4.485,0.054,-0.216,0.0
Kepler-1432,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6031.0,121.96,-137.46,0.0,1.13,0.295,-0.127,0.0,1.09,0.089,-0.07,0.0,0.02,0.134,-0.15,0.0,[Fe/H],,,,,4.37,0.085,-0.174,0.0
Kepler-918,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6028.0,134.42,-163.81,0.0,1.14,0.261,-0.124,0.0,1.11,0.095,-0.071,0.0,0.06,0.137,-0.129,0.0,[Fe/H],,,,,4.37,0.08,-0.164,0.0
Kepler-1949,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6028.0,81.0,-81.0,0.0,1.454,0.251,-0.276,0.0,1.194,0.087,-0.109,0.0,0.14,0.15,-0.15,0.0,[Fe/H],,,,,4.189,0.149,-0.122,0.0
K2-253,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,,6027.0,221.0,-240.0,0.0,1.1,0.04,-0.04,0.0,1.08,0.05,-0.08,0.0,0.0,0.17,-0.19,0.0,[Fe/H],,,,,4.39,0.03,-0.05,0.0
Kepler-1397,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6026.0,97.07,-95.81,0.0,1.12,0.111,-0.081,0.0,1.09,0.041,-0.047,0.0,0.0,0.078,-0.083,0.0,[Fe/H],,,,,4.37,0.058,-0.078,0.0
Kepler-508,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6025.0,95.04,-99.94,0.0,1.25,0.196,-0.124,0.0,1.16,0.064,-0.054,0.0,0.18,0.091,-0.087,0.0,[Fe/H],,,,,4.3,0.086,-0.109,0.0
Kepler-132,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6023.0,82.47,-66.42,0.0,1.1,0.149,-0.103,0.0,1.03,0.057,-0.055,0.0,-0.13,0.116,-0.117,0.0,[Fe/H],,,,,4.37,0.082,-0.108,0.0
Kepler-1581,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6022.0,81.89,-66.79,0.0,1.23,0.205,-0.137,0.0,1.12,0.056,-0.041,0.0,0.07,0.084,-0.083,0.0,[Fe/H],,,,,4.31,0.098,-0.115,0.0
Kepler-1535,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6021.0,94.56,-92.04,0.0,1.11,0.101,-0.077,0.0,1.08,0.041,-0.045,0.0,0.0,0.078,-0.082,0.0,[Fe/H],,,,,4.38,0.058,-0.07,0.0
Kepler-874,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6020.0,155.87,-210.62,0.0,1.13,0.306,-0.155,0.0,1.09,0.117,-0.091,0.0,0.03,0.14,-0.17,0.0,[Fe/H],,,,,4.37,0.099,-0.18,0.0
Kepler-647,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6020.0,81.21,-72.51,0.0,1.07,0.13,-0.092,0.0,1.03,0.055,-0.054,0.0,-0.14,0.117,-0.12,0.0,[Fe/H],,,,,4.39,0.074,-0.097,0.0
Kepler-1915,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6020.0,211.0,-211.0,0.0,1.057,0.341,-0.146,0.0,1.03,0.145,-0.13,0.0,-0.06,0.25,-0.3,0.0,[Fe/H],,,,,4.403,0.087,-0.203,0.0
Kepler-1725,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6020.0,108.0,-133.0,0.0,1.085,0.18,-0.103,0.0,1.049,0.086,-0.07,0.0,0.0,0.15,-0.15,0.0,[Fe/H],,,,,4.389,0.066,-0.123,0.0
Kepler-1416,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6019.0,321.69,-283.99,0.0,1.15,0.427,-0.183,0.0,1.09,0.195,-0.106,0.0,0.03,0.132,-0.155,0.0,[Fe/H],,,,,4.35,0.123,-0.212,0.0
Kepler-1746,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6018.0,120.0,-120.0,0.0,1.286,0.207,-0.207,0.0,1.09,0.1,-0.082,0.0,0.06,0.15,-0.15,0.0,[Fe/H],,,,,4.257,0.137,-0.112,0.0
Kepler-1255,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6018.0,134.73,-186.81,0.0,1.12,0.306,-0.137,0.0,1.08,0.097,-0.086,0.0,0.02,0.133,-0.161,0.0,[Fe/H],,,,,4.37,0.088,-0.179,0.0
HD 196067,<a refstr=MARMIER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..90M/abstract target=ref> Marmier et al. 2013 </a>,G1 V,6017.0,46.0,-46.0,0.0,1.73,0.21,-0.21,0.0,1.29,0.08,-0.08,0.0,0.18,0.04,-0.04,0.0,[Fe/H],0.572,,,0.0,4.24,0.03,-0.03,0.0
Kepler-996,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6014.0,114.4,-152.18,0.0,1.14,0.359,-0.143,0.0,1.09,0.094,-0.077,0.0,0.03,0.131,-0.155,0.0,[Fe/H],,,,,4.36,0.097,-0.204,0.0
Kepler-757,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6014.0,221.13,-288.93,0.0,1.13,0.38,-0.182,0.0,1.08,0.143,-0.11,0.0,0.02,0.129,-0.164,0.0,[Fe/H],,,,,4.37,0.115,-0.205,0.0
Kepler-524,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6014.0,75.23,-86.17,0.0,1.1,0.079,-0.064,0.0,1.09,0.035,-0.042,0.0,0.02,0.081,-0.081,0.0,[Fe/H],,,,,4.39,0.047,-0.061,0.0
Kepler-1189,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6012.0,121.95,-184.74,0.0,1.16,0.342,-0.149,0.0,1.11,0.105,-0.084,0.0,0.08,0.143,-0.142,0.0,[Fe/H],,,,,4.36,0.093,-0.203,0.0
Kepler-1031,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6011.0,125.91,-133.3,0.0,1.12,0.268,-0.129,0.0,1.09,0.095,-0.07,0.0,0.03,0.136,-0.17,0.0,[Fe/H],,,,,4.38,0.084,-0.166,0.0
WASP-142,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,F8,6010.0,140.0,-140.0,0.0,1.64,0.08,-0.08,0.0,1.33,0.08,-0.08,0.0,0.26,0.12,-0.12,0.0,[Fe/H],,,,,4.13,0.04,-0.04,0.0
Kepler-1407,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6010.0,158.66,-154.68,0.0,1.15,0.268,-0.138,0.0,1.1,0.103,-0.076,0.0,0.05,0.142,-0.142,0.0,[Fe/H],,,,,4.36,0.09,-0.157,0.0
Kepler-1050,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6010.0,90.67,-99.65,0.0,1.13,0.29,-0.119,0.0,1.09,0.082,-0.067,0.0,0.03,0.141,-0.165,0.0,[Fe/H],,,,,4.37,0.082,-0.176,0.0
TOI-2458,<a refstr=_AMP_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240917532S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,F9-F9.5,6005.0,50.0,-50.0,0.0,1.31,0.03,-0.03,0.0,1.05,0.03,-0.03,0.0,-0.1,0.05,-0.05,0.0,[Fe/H],,,,,4.2,0.05,-0.05,0.0
Kepler-1613,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6005.0,92.89,-111.57,0.0,1.12,0.239,-0.125,0.0,1.08,0.082,-0.07,0.0,0.01,0.152,-0.174,0.0,[Fe/H],,,,,4.37,0.088,-0.145,0.0
Kepler-616,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6004.0,181.0,-199.0,0.0,0.977,0.302,-0.101,0.0,1.061,0.134,-0.134,0.0,-0.02,0.25,-0.3,0.0,[Fe/H],,,,,4.484,0.052,-0.208,0.0
Kepler-431,<a refstr=EVERETT_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....149...55E/abstract target=ref>Everett et al. 2015</a>,,6004.0,75.0,-75.0,0.0,1.092,0.191,-0.109,0.0,1.071,0.059,-0.037,0.0,0.07,0.1,-0.1,0.0,[Fe/H],,,,,4.4,0.15,-0.15,0.0
EPIC 212587672,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,6004.0,77.0,-78.0,0.0,0.98,0.04,-0.03,0.0,0.99,0.03,-0.04,0.0,-0.18,0.06,-0.06,0.0,[Fe/H],,,,,4.45,0.03,-0.04,0.0
WASP-106,<a refstr=WRIGHT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..217W/abstract target=ref>Wright et al. 2023</a>,,6002.0,164.0,-164.0,0.0,1.47,0.016,-0.017,0.0,1.175,0.082,-0.074,0.0,-0.02,0.1,-0.1,0.0,[Fe/H],,,,,4.49,0.16,-0.16,0.0
Kepler-978,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6002.0,81.98,-84.89,0.0,1.09,0.246,-0.116,0.0,1.07,0.078,-0.074,0.0,-0.01,0.145,-0.193,0.0,[Fe/H],,,,,4.38,0.082,-0.152,0.0
Kepler-1824,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6002.0,71.0,-89.0,0.0,1.081,0.171,-0.061,0.0,1.135,0.062,-0.07,0.0,0.2,0.15,-0.15,0.0,[Fe/H],,,,,4.424,0.032,-0.12,0.0
WASP-184,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490.1479H/abstract target=ref>Hellier et al. 2019</a>,G0 V,6000.0,100.0,-100.0,0.0,1.65,0.09,-0.09,0.0,1.23,0.07,-0.07,0.0,0.12,0.08,-0.08,0.0,[Fe/H],,,,,4.09,0.05,-0.05,0.0
WASP-168,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1379H/abstract target=ref>Hellier et al. 2019</a>,F9 V,6000.0,100.0,-100.0,0.0,1.12,0.06,-0.06,0.0,1.08,0.05,-0.05,0.0,-0.01,0.09,-0.09,0.0,,,,,,4.37,0.05,-0.05,0.0
TOI-5398,<a refstr=MANTOVAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231016888M/abstract target=ref>Mantovan et al. 2023</a>,G V,6000.0,75.0,-75.0,0.0,1.051,0.013,-0.013,0.0,1.146,0.013,-0.013,0.0,0.09,0.06,-0.06,0.0,[Fe/H],,,,,4.44,0.1,-0.1,0.0
TOI-4329,<a refstr=GRUNBLATT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..120G/abstract target=ref>Grunblatt et al. 2022</a>,,6000.0,100.0,-100.0,0.0,2.31,0.03,-0.03,0.0,1.538,0.049,-0.049,0.0,0.29,0.06,-0.06,0.0,[Fe/H],,,,,3.9,0.03,-0.03,0.0
NGC 2682 Sand 1429,<a refstr=THOMAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240302911T/abstract target=ref>Thomas et al. 2024</a>,F9.5 V,6000.0,40.0,-40.0,0.0,2.13,0.04,-0.04,0.0,1.26,0.04,-0.04,0.0,-0.013,0.023,-0.023,0.0,[Fe/H],,,,,4.01,0.16,-0.16,0.0
Kepler-74,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,F8 V,6000.0,100.0,-100.0,0.0,1.12,0.04,-0.04,0.0,1.18,0.04,-0.04,0.0,0.42,0.11,-0.11,0.0,[Fe/H],,,,,4.44,0.01,-0.01,0.0
Kepler-590,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6000.0,107.67,-147.47,0.0,1.15,0.311,-0.14,0.0,1.1,0.094,-0.078,0.0,0.07,0.14,-0.144,0.0,[Fe/H],,,,,4.35,0.098,-0.173,0.0
Kepler-1823,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,6000.0,108.0,-133.0,0.0,1.126,0.195,-0.105,0.0,1.068,0.086,-0.07,0.0,0.06,0.15,-0.15,0.0,[Fe/H],,,,,4.363,0.08,-0.12,0.0
Kepler-1085,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6000.0,83.83,-89.9,0.0,1.14,0.309,-0.11,0.0,1.11,0.088,-0.063,0.0,0.08,0.145,-0.158,0.0,[Fe/H],,,,,4.37,0.077,-0.181,0.0
Kepler-912,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5998.0,277.89,-268.31,0.0,1.11,0.334,-0.169,0.0,1.07,0.151,-0.099,0.0,0.02,0.13,-0.167,0.0,[Fe/H],,,,,4.37,0.109,-0.188,0.0
Kepler-1269,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5998.0,88.2,-88.22,0.0,1.15,0.321,-0.125,0.0,1.1,0.085,-0.058,0.0,0.07,0.138,-0.145,0.0,[Fe/H],,,,,4.36,0.09,-0.182,0.0
Kepler-512,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5997.0,75.84,-67.77,0.0,1.3,0.236,-0.151,0.0,1.17,0.074,-0.052,0.0,0.22,0.082,-0.076,0.0,[Fe/H],,,,,4.28,0.104,-0.12,0.0
Kepler-714,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5995.0,106.7,-117.06,0.0,1.12,0.288,-0.117,0.0,1.09,0.081,-0.066,0.0,0.04,0.139,-0.157,0.0,[Fe/H],,,,,4.37,0.08,-0.178,0.0
K2-331,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,5994.0,93.0,-91.0,0.0,1.06,0.03,-0.02,0.0,1.1,0.03,-0.04,0.0,0.08,0.08,-0.08,0.0,[Fe/H],,,,,4.43,0.02,-0.03,0.0
Kepler-871,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5993.0,107.01,-146.49,0.0,1.14,0.31,-0.126,0.0,1.11,0.089,-0.075,0.0,0.09,0.149,-0.15,0.0,[Fe/H],,,,,4.37,0.084,-0.18,0.0
Kepler-766,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5992.0,95.54,-140.96,0.0,1.15,0.313,-0.133,0.0,1.1,0.088,-0.072,0.0,0.09,0.148,-0.147,0.0,[Fe/H],,,,,4.36,0.092,-0.182,0.0
Kepler-1550,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5991.0,161.09,-159.37,0.0,1.11,0.256,-0.135,0.0,1.07,0.095,-0.076,0.0,0.01,0.12,-0.184,0.0,[Fe/H],,,,,4.38,0.094,-0.152,0.0
WASP-131,<a refstr=DOYLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.4499D/abstract target=ref>Doyle et al. 2023</a>,,5990.0,50.0,-50.0,0.0,1.561,0.043,-0.043,0.0,1.06,0.068,-0.068,0.0,-0.2,0.07,-0.07,0.0,[Fe/H],,,,,4.075,0.018,-0.018,0.0
WASP-102,<a refstr=SCHANCHE_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250408091S/abstract target=ref>Schanche et al. 2025</a>,,5990.0,100.0,-100.0,0.0,1.375,0.048,-0.048,0.0,1.08,0.07,-0.07,0.0,-0.2,0.3,-0.3,0.0,[Fe/H],,,,,4.2,0.15,-0.15,0.0
Kepler-923,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5988.0,82.2,-64.57,0.0,1.26,0.255,-0.171,0.0,1.11,0.071,-0.044,0.0,0.07,0.088,-0.081,0.0,[Fe/H],,,,,4.28,0.119,-0.137,0.0
HD 190984,<a refstr=SANTOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..47S/abstract target=ref> Santos et al. 2010 </a>,F8 V,5988.0,25.0,-25.0,0.0,1.53,,,0.0,0.91,,,0.0,-0.48,0.06,-0.06,0.0,[Fe/H],0.43,,,0.0,4.02,0.22,-0.22,0.0
Kepler-1057,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5987.0,293.78,-296.99,0.0,1.1,0.36,-0.169,0.0,1.07,0.153,-0.106,0.0,0.01,0.132,-0.181,0.0,[Fe/H],,,,,4.38,0.109,-0.181,0.0
Kepler-1744,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5986.0,179.0,-215.0,0.0,0.85,0.234,-0.094,0.0,0.886,0.099,-0.099,0.0,-0.5,0.3,-0.3,0.0,[Fe/H],,,,,4.527,0.06,-0.192,0.0
