Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
88	GZ_CMa B	2.001	0.025	0.025	2.13	0.04	0.04	8531	340	340	21.577	4.245	4.245				4.08	0.015	0.015	0.049433307462047923	0.0028526347827613876	0.0028526347827613876	2.2020457	MS	A		eker14	1.24937531234383	1.87793427230047	3.98546477552456	19.6737266533809	EB
89	HP_Aur A	0.959	0.011	0.011	1.052	0.012	0.012	5790	80	80	1.117	0.072	0.072				4.375	0.009	0.009	0.19664494119620765	0.007097253989110046	0.007097253989110046	3.9987712	MS	G		eker14	1.14702815432742	1.14068441064639	1.38169257340242	6.44583706356311	EB
90	HP_Aur B	0.807	0.01	0.01	0.823	0.009	0.009	5270	90	90	0.469	0.036	0.036				4.514	0.011	0.011	0.3456092995140412	0.012120186084078855	0.012120186084078855	4.3396312	MS	G		eker14	1.23915737298637	1.09356014580802	1.70777988614801	7.67590618336887	EB
91	HP_Dra A	1.056	0.005	0.005	1.34	0.012	0.012	6000	150	150	2.089	0.239	0.239				4.218	0.01	0.01	0.10477578269998396	0.0028582539757766984	0.0028582539757766984	3.8611162	MS	F		eker14	0.473484848484849	0.895522388059701	2.5	11.4408808042125	EB
92	HP_Dra B	1.024	0.007	0.007	1.028	0.01	0.01	5895	150	150	1.146	0.134	0.134				4.433	0.011	0.011	0.22502563885952898	0.006744655039192358	0.006744655039192358	3.9299437	MS	G		eker14	0.68359375	0.972762645914397	2.54452926208651	11.6928446771379	EB
93	HS_Aur A	0.898	0.019	0.019	1.005	0.023	0.023	5350	70	70	0.743	0.055	0.055	-0.01	0.01	0.01	4.39	0.02	0.02	0.21119787399458056	0.015173080763235964	0.015173080763235964	4.2871912	MS	G		eker14	2.11581291759465	2.28855721393035	1.30841121495327	7.40242261103634	EB
94	HS_Aur B	0.877	0.017	0.017	0.874	0.03	0.03	5200	72	72	0.501	0.048	0.048	-0.01	0.01	0.01	4.5	0.03	0.03	0.3136004564685124	0.03286012816831303	0.03286012816831303	4.3855162	MS	G		eker14	1.93842645381984	3.4324942791762	1.38461538461538	9.58083832335329	EB
95	HS_Hya A	1.255	0.008	0.008	1.278	0.007	0.007	6500	50	50	2.618	0.086	0.086				4.326	0.006	0.006	0.1435365670518216	0.0025298393482150123	0.0025298393482150123	3.5333662	MS	F		eker14	0.637450199203187	0.54773082942097	0.769230769230769	3.28495034377387	EB
96	HS_Hya B	1.219	0.007	0.007	1.22	0.007	0.007	6400	50	50	2.244	0.079	0.079				4.354	0.006	0.006	0.16026386208731713	0.00290810077693519	0.00290810077693519	3.5989162	MS	F		eker14	0.574241181296144	0.573770491803279	0.78125	3.5204991087344	EB
97	HW_CMa A	1.779	0.012	0.012	1.668	0.021	0.021	7700	150	150	8.79	0.782	0.782	0.28	0.1	0.1	4.247	0.011	0.011	0.09151645732236795	0.003511247486839595	0.003511247486839595	2.7467662	MS	A		eker14	0.674536256323777	1.2589928057554	1.94805194805195	8.89647326507395	EB
