Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
5800.0,4.25,-0.4,0.9527961640236519,150.0,0.15,0.12,0.13406882712996482
5800.0,4.14,-0.19,1.9498445997580451,70.0,0.12,0.07,0.5044048290121177
5792.0,4.36,-0.25,0.7799917335363439,16.0,0.03,0.01,0.039022161430939395
5790.0,4.33338,0.09,1.3400777609949184,136.385,0.0836485,0.1,0.034069121145778536
5788.0,4.376,0.14,1.1959967513693968,80.0,0.021,0.05,0.04900533916885352
5785.0,4.457,-0.193,0.8849933350369471,73.0,0.024,0.06,0.04620957389613445
5784.0,4.45,-0.038,0.9249963094617257,61.0,0.1,0.04,0.040134996027145764
5783.0,4.273,0.21,1.5800105979413512,99.0,0.055,0.185,0.10142933532443321
5783.0,4.12,0.07,1.78998750747407,19.0,0.02,0.02,0.019898925239080434
5783.0,4.28,0.1,1.9998618696327441,62.0,0.1,0.05,0.2818396290271843
5782.13,4.3514,-0.0537,1.2786156034592318,102.215,0.067238,0.004,0.033357760253881485
5780.0,4.328,0.28,1.4300130474851702,120.0,0.044,0.07,0.20533726417303444
5772.0,4.174,0.278,2.1500076242905624,82.0,0.033,0.0825,0.12073188218570752
5771.0,4.385,0.191,1.1990022553024329,88.0,0.0305,0.083,0.07961575174360436
5764.0,4.4,0.239,1.1360043646919784,79.5,0.03,0.0775,0.06402802889183723
5760.0,4.048,0.085,2.7799693006031814,86.5,0.019000000000000003,0.0835,0.20693660195975339
5760.0,4.024,0.13,2.9599883380409096,79.5,0.048,0.095,0.1368297764374049
5758.0,4.31038,0.18,1.3687054608377462,110.62,0.0719205,0.1,0.035206609648391396
5757.0,4.32,0.14,1.2999899653754543,68.5,0.02,0.05,0.05367760828168888
5756.0,4.402,0.318,1.1679923546071067,66.5,0.0155,0.058,0.062285275089826064
5752.0,4.194,0.397,2.091991906501735,84.0,0.022,0.0595,0.1077725484422245
5747.0,4.427,0.377,1.1379940726474664,49.0,0.035,0.08,0.11427270009290358
5746.0,4.031,0.196,2.8300232273447525,87.5,0.0315,0.058,0.17516233409778947
5743.0,4.14,0.27,2.269864851883822,50.0,0.07,0.08,0.39455222186622485
5738.0,4.214,0.025,1.6900128236122105,51.0,0.016,0.071,0.06668906442577849
5738.0,4.239,-0.1,1.4900128025794255,79.0,0.079,0.05,0.26638020842227994
5735.0,4.06,0.26,2.7200068640769457,72.0,0.01,0.05,0.0882114281821218
5735.0,4.431,0.149,1.0240001022367002,76.0,0.023,0.058499999999999996,0.05633511436169447
5734.0,4.47,0.017,0.8739971168862254,83.0,0.035,0.0475,0.05350581200166071
5732.0,4.301,-0.102,1.178989670171637,25.0,0.013,0.043,0.03644009486610411
5731.43,4.45124,-0.1455,0.9648282254565986,126.53,0.0772645,0.0087,0.02680179642304048
5730.0,4.176,0.316,2.0600131847354892,140.0,0.0405,0.04,0.244363334238626
5727.0,4.44,-0.09,0.9800088553709312,60.0,0.07,0.04,0.15743352296118385
5725.0,4.188,0.187,1.8759877579669373,68.5,0.0375,0.0885,0.05856897276842432
5725.0,4.471,-0.21,0.8147042840208396,90.0,0.011,0.08,0.0750990089626018
5721.0,4.25,-0.02,1.4599903995290213,85.5,0.032,0.1,0.10114465822941165
5718.0,4.119,0.283,2.335984732536807,68.0,0.026,0.0595,0.12242437811194806
5715.0,4.347,0.02,1.1700111486105869,73.0,0.053,0.05,0.15922395008102097
5710.0,3.962,0.215,3.4299674606050514,51.0,0.025,0.0505,0.2271279996006963
5710.0,4.19,0.44,2.0150229644764868,40.0,0.03,0.04,0.00798771509973184
5706.0,4.209,0.387,1.9300119587775195,93.0,0.026500000000000003,0.0765,0.1438697721419241
5700.0,4.2,-0.21,11.402497875611685,80.0,0.2,0.08,2.198002158079973
5700.0,4.05,0.0,3.2639988720395774,80.0,0.08,0.08,0.23365678310339222
5700.0,4.092,0.049,2.240010221040763,140.0,0.0635,0.1005,0.11194379690889744
5700.0,4.396,0.39,1.139987265569977,110.0,0.057,0.05,0.18911973132828314
5695.0,4.057,0.253,2.544016946742174,59.0,0.0155,0.057,0.09040861143350232
5691.0,4.35,0.013,1.0890053165575284,93.5,0.0125,0.086,0.08518489157729203
5690.0,4.37,0.07,1.0699906927079144,40.0,0.03,0.04,0.009956191805984616
5688.0,4.52,0.03,0.7499978182030022,28.0,0.05,0.05,0.029421240943728888
5688.0,4.148,0.335,1.9959975321946712,20.0,0.014,0.028,0.06494066417099553
5684.0,4.486,0.147,0.8639925546191204,66.0,0.0175,0.049,0.04712808637865151
5680.0,4.452,0.078,0.8899999863825755,120.0,0.045,0.0685,0.04476944838418617
5680.0,4.36,0.12,1.1297959146727978,90.0,0.06,0.08,0.17467927576773407
