Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
5977.0,,,,131.0,,,
5977.0,4.479,,,200.0,0.3,,
5974.0,4.43,-0.13,,10.0,0.02,,
5962.7,4.38,,,,,,
5960.0,4.327,,,153.0,0.15,,
5960.0,4.37,0.24,,100.0,0.03,,
5959.0,,0.255,,61.0,,0.065,
5957.0,4.524,,,200.0,0.3,,
5956.0,4.518,,,200.0,0.3,,
5955.0,4.46,-0.13,,14.0,0.04,,
5952.0,4.377,,,74.0,0.1,,
5950.0,4.06,0.0,,70.0,0.1,,
5950.0,4.358,,1.5417004529495595,130.0,0.07300000000000001,,0.3842495171188419
5950.0,,,,150.0,,,
5950.0,,-0.02,,62.0,,0.065,
5949.0,4.303,,,128.0,0.15,,
5948.0,4.312,,,100.0,0.15,,
5945.0,4.38,0.3,,36.0,0.06,,
5942.0,,-0.315,,119.0,,0.06,
5941.54,4.40263,-0.2603,1.327883578014036,26.58,,0.0247,
5940.0,4.44,0.13,,28.0,0.04,,
5939.0,,0.22,2.3988329190194904,,,,0.40357060405061085
5938.0,4.323,,,226.0,0.15,,
5938.0,4.532,,,200.0,0.3,,
5935.0,,0.35,4.36515832240166,,,,0.47470687245885435
5933.0,,-0.09,,60.0,,0.04,
5932.0,4.4,0.35,,23.0,0.03,,
5923.0,4.017,,,77.0,0.073,,
5923.0,3.92,,,,,,
5922.0,4.409,,,76.0,0.057,,
5920.0,4.03,-0.12,,150.0,0.03,,
5920.0,4.129,,,116.0,0.15,,
5918.0,4.353,,,250.0,0.3,,
5913.0,4.491,,,200.0,0.3,,
5912.0,4.101,0.0,,51.0,0.063,,
5910.0,4.17,0.22,,60.0,0.11,,
5908.0,4.504,,,200.0,0.3,,
5905.0,,-0.09,,144.0,,0.1,
5905.0,4.308,,,131.0,0.15,,
5905.0,4.22,-0.6,,13.0,0.03,,
5900.0,4.2,-0.04,,100.0,0.1,,
5900.0,4.3,-0.2,,100.0,0.1,,
5900.0,4.303,,,100.0,0.15,,
5897.0,,0.035,,118.0,,0.06,
5895.0,4.508,,,200.0,0.3,,
5894.0,,0.27,4.073802778041127,,,,0.6853612166491017
5890.3,3.92,,,,,,
5888.0,4.502,,,200.0,0.3,,
5886.0,4.35,,,100.0,0.15,,
5885.0,4.453,,,250.0,0.3,,
5884.0,4.304,,,75.0,0.053,,
